lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.076278,-34.895527,-52.2333333333333,-36.8666666666667,-70.5,-57.4333333333333,-70.9,-83.9
-8.076267,-34.895248,-56.3666666666667,-49.1,-73.0333333333333,-58.2666666666667,-75.8333333333333,-80.1
-8.076258,-34.895466,-56.7666666666667,-45.6,-78.6333333333334,-62.1666666666667,-69.4333333333333,-80.9333333333333
-8.076257,-34.895248,-71.3666666666667,-47.6333333333333,-76.6,-63.7666666666667,-73.7666666666667,-83.5
-8.076256,-34.899773,-66.6666666666667,-54.8333333333333,-68.9,-79.6666666666667,-87.3666666666666,-86.9666666666667
-8.076246,-34.899784,-69.6,-53.05,-67.1,-73.65,-84.9,-85.45
-8.076238,-34.895157,-66.1333333333333,-42.1666666666667,-70.7666666666667,-54.2666666666667,-71.7333333333333,-80.7333333333333
-8.076237,-34.899784,-70.5333333333333,-59.8666666666667,-70.9,-82.7,-81.1333333333333,-83.6
-8.076237,-34.896034,-62.8333333333333,-58.9,-78.2,-73.2666666666667,-78.3666666666667,-79.7333333333333
-8.076235,-34.895405,-58.7333333333333,-46.6333333333333,-73.5666666666667,-58.3,-74.2,-79.4
-8.076227,-34.896053,-63.1333333333333,-61.1,-75.8333333333333,-67.8,-73.9333333333333,-76.9333333333333
-8.076221,-34.895134,-59.9333333333333,-40.6666666666667,-70.3333333333333,-48.2333333333333,-73.8333333333333,-76.5333333333333
-8.076213,-34.895344,-56.0666666666667,-48.0333333333333,-71.3333333333333,-59.0333333333333,-72.6333333333334,-78.5
-8.076208,-34.895065,-63,-54.95,-64.95,-55.35,-74,-84.05
-8.076203,-34.899796,-70.2666666666667,-54.4333333333333,-70.5666666666667,-80.2333333333333,-86.4666666666667,-87.6
-8.076194,-34.895283,-63.2,-48,-71.1666666666667,-52.5333333333333,-70.0666666666667,-80.3
-8.076188,-34.899788,-68.15,-56.6,-64.2,-77,-82.9,-86
-8.076185,-34.89502,-56.9,-58.025,-74.675,-50.4,-72.125,-85.75
-8.076179,-34.895222,-62.7,-42.2666666666667,-75.9333333333333,-54.7333333333333,-71.1,-77.5666666666667
-8.076177,-34.896057,-64.7666666666667,-61.8666666666667,-78.7333333333333,-72,-78.6,-83.3666666666667
-8.076176,-34.894966,-60.7333333333333,-54.4333333333333,-71.5666666666667,-48.6666666666667,-72.3666666666667,-81.7666666666667
-8.076166,-34.899803,-65.8,-58.05,-68.45,-80,-81.4,-84.7
-8.076163,-34.895157,-59.7,-47,-69.7,-53.35,-77.05,-78.05
-8.076153,-34.899811,-65.8,-52.5666666666667,-65.8,-77.7,-85.1666666666667,-84.4666666666667
-8.07615,-34.894905,-60.5666666666667,-51.4666666666667,-72.7,-47.2333333333333,-73.3333333333333,-86.1333333333333
-8.076149,-34.89608,-63.3,-56.5,-72.1,-72.1,-71.3,-79.65
-8.076147,-34.895092,-65.2666666666667,-56.1,-70.5333333333333,-55.6,-73.9666666666667,-82.1666666666667
-8.076143,-34.894867,-60.25,-55.525,-69.15,-48.975,-71.6,-81
-8.076131,-34.899803,-67.9,-52.1,-70.6666666666667,-76.2,-81.8333333333333,-85.0666666666667
-8.076126,-34.895023,-62.4333333333333,-51.3,-75.6,-47.7666666666667,-71.7666666666667,-86.5666666666667
-8.076114,-34.894791,-60.1,-49.9666666666667,-77.9666666666667,-50.0333333333333,-77.8,-78.5333333333333
-8.076109,-34.896084,-65.4,-56.1333333333333,-80.4333333333333,-69.5333333333333,-75.7666666666667,-84.2666666666667
-8.076103,-34.894936,-60.5666666666667,-49.7333333333333,-73.2666666666667,-49.4666666666667,-77.9666666666667,-84.3
-8.076097,-34.899826,-73.1666666666667,-57.3333333333333,-63.5666666666667,-78.2333333333333,-82.5333333333333,-82.3333333333333
-8.076082,-34.899818,-69,-47.0666666666667,-69.0333333333333,-72.7,-79.6666666666667,-82.8
-8.076077,-34.894833,-54.4,-47.9,-69.25,-51.4,-73.85,-84.95
-8.076077,-34.894661,-64.1,-49.25,-70.95,-57.6,-70.75,-83.95
-8.076075,-34.894672,-65.2,-51.775,-70.225,-49.75,-72.375,-82.25
-8.076062,-34.896107,-58.8,-55.2666666666667,-77.6333333333334,-71.4666666666667,-70.7666666666667,-74.6666666666667
-8.076043,-34.899834,-67.6666666666667,-60.6666666666667,-65,-77.3,-78.8333333333333,-81.4333333333333
-8.076043,-34.894718,-63.6,-49.6,-67.1,-55.8,-70.7333333333333,-82.8
-8.076042,-34.896107,-67.2333333333333,-60,-79.1666666666667,-70.2,-73.5333333333333,-81.6333333333334
-8.076039,-34.89455,-62.05,-45.525,-73.4,-48.15,-69.525,-78.95
-8.076038,-34.899845,-72.6666666666667,-64.6,-65.0333333333333,-81.5333333333333,-82.7,-86.6
-8.076035,-34.899834,-70.2666666666667,-54.5,-68.9,-76.8666666666666,-81.3333333333333,-87.5666666666667
-8.076035,-34.894558,-57.85,-45.8,-70.75,-49.2,-68.2,-81.7
-8.076005,-34.894596,-55.4666666666667,-45.2333333333333,-72.9,-46.9333333333333,-68.2,-81.3333333333333
